2026-04-26 15:44:06,918 [INFO] __main__: Dashboard Started
2026-04-26 15:45:55,171 [WARNING] __main__: Detected Keyboard Interrupt
2026-04-26 15:46:22,875 [INFO] __main__: Display Slept
2026-04-26 15:46:49,709 [WARNING] __main__: Detected Keyboard Interrupt
2026-04-26 15:47:18,605 [INFO] __main__: Dashboard Started
2026-04-26 15:47:29,588 [WARNING] __main__: Detected Keyboard Interrupt
2026-04-26 15:47:57,218 [INFO] __main__: Display Slept
2026-04-26 15:48:44,521 [INFO] __main__: Dashboard Started
2026-04-27 10:51:03,866 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:51:06,938 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de95f90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:51:06,938 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:52:03,866 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaafd0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:52:03,866 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:52:06,938 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de960d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:52:06,938 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:53:03,898 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff8f5a39d0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:53:03,898 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:53:06,970 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaaad0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:53:06,970 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:54:03,898 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7ddaaad0>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:54:03,898 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
2026-04-27 10:54:06,970 [ERROR] api: ESP32 request failed: HTTPConnectionPool(host='192.168.1.30', port=80): Max retries exceeded with url: /sht31 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fff7de95f90>: Failed to establish a new connection: [Errno 113] No route to host'))
2026-04-27 10:54:06,970 [WARNING] api: fetch_room_info: Invalid data received, keeping old cache
